,ProjectID,BuildingID,Number,Street,Borough,Postcode,Latitude,Longitude,LowIncomeUnits
768,60431,397332.0,1031,WINTHROP STREET,Brooklyn,11212.0,40.66053,-73.925376,2
769,60431,809908.0,1019,WINTHROP STREET,Brooklyn,11212.0,40.660354999999996,-73.925647,35
770,60431,839362.0,182,EAST 93 STREET,Brooklyn,11212.0,40.661063,-73.92540799999999,33
771,44285,331134.0,633,MADISON STREET,Brooklyn,11221.0,40.686892,-73.931765,0
772,44285,927191.0,22,VAN BUREN STREET,Brooklyn,11221.0,40.689937,-73.944263,0
773,44285,927618.0,666,GREENE AVENUE,Brooklyn,11221.0,40.689469,-73.941797,0
774,44285,927624.0,716,LAFAYETTE AVENUE,Brooklyn,11221.0,40.690670000000004,-73.94438199999999,0
775,44285,927625.0,718,LAFAYETTE AVENUE,Brooklyn,11221.0,40.690676,-73.944321,0
776,44285,927626.0,720,LAFAYETTE AVENUE,Brooklyn,11221.0,40.690684000000005,-73.944259,0
777,44285,927981.0,494,GATES AVENUE,Brooklyn,11216.0,40.686696999999995,-73.946354,0
778,44285,927982.0,327,CLIFTON PLACE,Brooklyn,11216.0,40.689254,-73.950333,0
779,44285,972362.0,461,TOMPKINS AVENUE,Brooklyn,11216.0,40.681604,-73.94355300000001,0
780,44285,972363.0,463,TOMPKINS AVENUE,Brooklyn,11216.0,40.681538,-73.943539,0
781,50157,927198.0,344,BERGEN STREET,Brooklyn,11217.0,40.682846000000005,-73.980541,0
782,54909,971874.0,487,LIVONIA AVENUE,Brooklyn,11207.0,40.66398,-73.89929000000001,89
783,54909,972723.0,449,HINSDALE STREET,Brooklyn,11207.0,40.663759000000006,-73.89859100000001,61
784,54909,972724.0,500,LIVONIA AVENUE,Brooklyn,11207.0,40.664015,-73.898933,90
785,44295,965149.0,679,VAN SINDEREN AVENUE,Brooklyn,11207.0,40.659906,-73.899419,101
786,44295,965150.0,170,NEW LOTS AVENUE,Brooklyn,11207.0,40.659157,-73.89909899999999,28
787,50411,958174.0,101,SOUTH 5 STREET,Brooklyn,11249.0,40.711514,-73.96436899999999,54
788,58589,306817.0,165,HANCOCK STREET,Brooklyn,11216.0,40.682652000000004,-73.949083,3
789,58589,306841.0,188,HANCOCK STREET,Brooklyn,11216.0,40.682718,-73.948369,4
790,58589,317083.0,273,JEFFERSON AVENUE,Brooklyn,11216.0,40.68371,-73.946392,1
791,58589,330821.0,246,MADISON STREET,Brooklyn,11216.0,40.6849,-73.948937,5
792,58589,330959.0,442,MADISON STREET,Brooklyn,11221.0,40.685884,-73.940387,3
793,58589,330961.0,446,MADISON STREET,Brooklyn,11221.0,40.685898,-73.94026099999999,6
794,58589,330962.0,448,MADISON STREET,Brooklyn,11221.0,40.685906,-73.9402,6
795,58589,330965.0,452,MADISON STREET,Brooklyn,11221.0,40.68592,-73.940077,5
796,58589,330972.0,464,MADISON STREET,Brooklyn,11221.0,40.685963,-73.939702,4
